position,layer,method,n,positive_n,delta_margin_auc,delta_margin_auc_ci_low,delta_margin_auc_ci_high
P_a0,0,j_lens,29,8,0.5446428571428571,0.3007246376811594,0.7767857142857143
P_a0,0,logit_lens,29,8,0.5744047619047619,0.3484848484848485,0.7941258169934639
P_a0,1,j_lens,29,8,0.43154761904761907,0.2028985507246377,0.6779017857142855
P_a0,1,logit_lens,29,8,0.5416666666666666,0.3065228174603175,0.7666666666666667
P_a0,2,j_lens,29,8,0.5714285714285714,0.33737500000000004,0.7946475563909774
P_a0,2,logit_lens,29,8,0.40476190476190477,0.15939311594202898,0.6488095238095238
P_a0,3,j_lens,29,8,0.48214285714285715,0.22462238848108412,0.7421214721586572
P_a0,3,logit_lens,29,8,0.34523809523809523,0.12380772005772006,0.5833333333333334
P_a0,4,j_lens,29,8,0.24107142857142858,0.07245772946859903,0.4480857683982679
P_a0,4,logit_lens,29,8,0.44047619047619047,0.19444444444444445,0.6850679413179412
P_a0,5,j_lens,29,8,0.24404761904761904,0.04,0.5158005809979493
P_a0,5,logit_lens,29,8,0.5148809523809523,0.26782738095238096,0.7649147727272722
P_a0,6,j_lens,29,8,0.47023809523809523,0.25,0.7028985507246377
P_a0,6,logit_lens,29,8,0.6071428571428571,0.36231884057971014,0.83
P_a0,7,j_lens,29,8,0.5119047619047619,0.2899963768115942,0.7282835144927533
P_a0,7,logit_lens,29,8,0.7083333333333334,0.47115036231884055,0.9091017316017315
P_a0,8,j_lens,29,8,0.49702380952380953,0.2833333333333333,0.7027807971014491
P_a0,8,logit_lens,29,8,0.6666666666666666,0.47101449275362317,0.8500162337662335
P_a0,9,j_lens,29,8,0.5386904761904762,0.2972222222222222,0.7792343073593072
P_a0,9,logit_lens,29,8,0.6666666666666666,0.4494894598155468,0.869060559006211
P_a0,10,j_lens,29,8,0.43154761904761907,0.18115942028985507,0.6964285714285714
P_a0,10,logit_lens,29,8,0.6369047619047619,0.3737099253403601,0.8702012108262108
P_a0,11,j_lens,29,8,0.5803571428571429,0.30432841614906836,0.8444517543859648
P_a0,11,logit_lens,29,8,0.6607142857142857,0.43333333333333335,0.8631578947368421
P_a0,12,j_lens,29,8,0.5119047619047619,0.2777777777777778,0.7526315789473684
P_a0,12,logit_lens,29,8,0.6726190476190477,0.43478260869565216,0.8768115942028986
P_a0,13,j_lens,29,8,0.5892857142857143,0.3416394927536232,0.8200128205128203
P_a0,13,logit_lens,29,8,0.7083333333333334,0.5,0.8916666666666667
P_a0,14,j_lens,29,8,0.5357142857142857,0.2753623188405797,0.7826268115942027
P_a0,14,logit_lens,29,8,0.7113095238095238,0.48333333333333334,0.9
P_a0,15,j_lens,29,8,0.7380952380952381,0.48697534349708266,0.9565217391304348
P_a0,15,logit_lens,29,8,0.8154761904761905,0.5535714285714286,1.0
P_a0,16,j_lens,29,8,0.6666666666666666,0.4057712215320911,0.8894736842105263
P_a0,16,logit_lens,29,8,0.8541666666666666,0.675,0.9842105263157894
P_a0,17,j_lens,29,8,0.8452380952380952,0.6833333333333333,0.9696969696969697
P_a0,17,logit_lens,29,8,0.75,0.5333116883116883,0.9230769230769231
P_a0,18,j_lens,29,8,0.875,0.7246376811594203,0.9880952380952381
P_a0,18,logit_lens,29,8,0.8571428571428571,0.6894444444444445,0.975
P_a0,19,j_lens,29,8,0.9166666666666666,0.7944444444444444,1.0
P_a0,19,logit_lens,29,8,0.8869047619047619,0.7402597402597403,0.9944444444444445
